meta.uuid,dem.age,dem.city_or_rural,dem.country_code,dem.education_level,dem.gender,question.DAL_residency,question.DAL_employment_status,question.DAL_household_income,question.DAL_disposable_income,question.DAL_CCI-Q12_household_finance_present,question.DAL_CCI_EC-Q1_household_finance_past,question.DAL_CCI_EC-Q2_household_finance_future,question.DAL_CCI-Q14_economic_situation_present,question.DAL_CCI_EC-Q3_economic_situation_past,question.DAL_CCI_EC-Q4_economic_situation_future,question.DAL_CCI_EC-Q5_inflation_past,question.DAL_CCI_EC-Q6_inflation_future,question.DAL_CCI-Q13_job_situation_present,question.DAL_CCI_EC-Q7_unemployment_future,question.DAL_CCI_EC-Q8_purchases_present,question.DAL_CCI_EC-Q9_purchases_future,question.DAL_PolRisk_democratic_change,question.DAL_PolRisk_strong_leader,question.DAL_PolRisk_approve_president,question.DAL_PolRisk_approve_political_rep,question.DAL_PolRisk_approve_ruling_party_VE,question.DAL_PolRisk_approve_ruling_party_MX,question.DAL_PolRisk_approve_ruling_party_BR,question.DAL_PolRisk_approve_ruling_party_TR,question.DAL_PolRisk_approve_ruling_party_UA,question.DAL_PolRisk_trust_police,question.DAL_PolRisk_trust_courts,question.DAL_PolRisk_tax_evasion,question.DAL_PolRisk_inequality_past,question.DAL_PolRisk_inequality_anger,question.DAL_PolRisk_corrupt_past,question.DAL_PolRisk_corrupt_anger,question.DAL_PolRisk_corrupt_experience,question.DAL_PolRisk_politcal_stability,question.DAL_PolRisk_protest_likelihood,question.DAL_opinion_foreign_companies,question.DAL_positive_countries_MX_BR_VE,question.DAL_positive_countries_UA_TR_EG,question.DAL_negative_countries_MX_BR_VE,question.DAL_negative_countries_UA_TR_EG,question.DAL_protectionism,question.DAL_migration_time,question.DAL_migration_motives
001971a0-e19d-0135-810c-0a62aae02c3c,45,city,UA,medium,female,"Yes, as a citizen","Employed, working 30 or more hours per week",400 - 500,About half,Not very secure,... a little worse,Don't know,Fairly poorly,... got a little worse,... get a little worse,... increased a little,... increase a little,Not very secure,... increase a little,Neither the right moment nor the wrong moment,About the same,Neither more nor less,Somewhat disagree,Somewhat disapprove,Somewhat disapprove,,,,,Neither approve nor disapprove,Not a lot,Not at all,Never acceptable,... increased a lot,Very angry,... stayed the same,Very angry,Yes,Not very stable,Not at all likely,Somewhat positive,,United States | Germany,,China,Too little,Never,
003e0760-dd47-0135-17ee-0a62aae02c3c,48,city,MX,medium,male,"Yes, as a citizen","Employed, working 1 to å_29 hours per week",Prefer not to say,Most of it,Somewhat secure,... the same,... get a little better,Neither well nor poorly,... got a little worse,... get a little worse,... increased a lot,... increase a lot,Somewhat secure,... increase a little,The right moment,More purchases,Slightly less,Somewhat agree,Strongly disapprove,Somewhat disapprove,,Strongly disapprove,,,,Not a lot,Not at all,Never acceptable,... increased a little,A little angry,... increased a lot,Very angry,No,Not at all stable,Not at all likely,Somewhat positive,United States | Germany,,China,,Too much,Never,
0041c960-dc13-0135-2014-0a901406a434,21,city,TR,high,female,"Yes, but not as a citizen","Not employed, currently looking for work",400 - 500,All of it,Very secure,Don't know,Don't know,Fairly well,... stayed the same,... get a little better,... increased moderately,... increase moderately,Somewhat secure,... increase a little,Neither the right moment nor the wrong moment,About the same,Slightly less,Neither agree nor disagree,Neither approve nor disapprove,Neither approve nor disapprove,,,,Somewhat disapprove,,A little,A little,Sometimes acceptable,... increased a lot,Very angry,... increased a lot,Very angry,No,Not very stable,Not very likely,Very positive,,Ukraine | United States | Russia,,Germany,The right amount,Within the next 3 years,Economic situation in my country | Cost of living | Job / career opportunities
00470320-dd38-0135-6d2e-0a901406a434,32,city,MX,medium,male,"Yes, as a citizen","Employed, working 30 or more hours per week",200 - 300,Most of it,Somewhat secure,... a little better,... get a little better,Neither well nor poorly,... stayed the same,... stay the same,... increased moderately,... increase a lot,Somewhat secure,... increase a lot,Neither the right moment nor the wrong moment,About the same,Neither more nor less,Neither agree nor disagree,Strongly disapprove,Somewhat disapprove,,Strongly disapprove,,,,A little,A little,Never acceptable,... increased a little,A little angry,... increased a little,A little angry,Yes,Not very stable,Somewhat likely,Somewhat positive,Germany | United States | Japan,,China,,Too little,Sometime later,Political situation in my country | Cost of living | Educational opportunities | Job / career opportunities | Personal safety
007721a0-dd02-0135-c315-0a62aae02c3c,28,rural,UA,medium,male,"Yes, as a citizen","Not employed, currently looking for work",Under 100,Most of it,Not very secure,... a little worse,... stay the same,Fairly poorly,... got a lot worse,... get a lot worse,... increased a lot,... increase a lot,Not at all secure,... increase a lot,The wrong moment,Don't know,Much more,Neither agree nor disagree,Neither approve nor disapprove,Somewhat disapprove,,,,,Somewhat approve,Not at all,Not at all,Never acceptable,... increased a lot,Not at all angry,... increased a lot,Very angry,No,Don't know,Not at all likely,Very positive,,United States,,Germany,Don't know,Never,
008e19a0-dd5a-0135-8a86-0a901406a434,21,city,MX,low,male,"Yes, as a citizen","Employed, working 1 to å_29 hours per week",100 - 200,Most of it,Very secure,... a little better,... stay the same,Neither well nor poorly,... got a little better,... get a little better,... stayed about the same,... increase a lot,Very secure,... increase a little,Neither the right moment nor the wrong moment,About the same,Neither more nor less,Somewhat disagree,Strongly disapprove,Somewhat disapprove,,Somewhat approve,,,,A lot,A little,Sometimes acceptable,... increased a little,A little angry,... decreased a little,Not very angry,Yes,Not very stable,Not very likely,Somewhat positive,United States,,Canada,,The right amount,Never,
00a00fd0-dcaa-0135-c37e-0a901406a434,52,city,UA,medium,male,"Yes, as a citizen","Employed, working 1 to å_29 hours per week",200 - 300,Most of it,Not very secure,... a little better,... get a little better,Neither well nor poorly,... stayed the same,... stay the same,... increased moderately,... increase a little,Somewhat secure,... decrease a little,Neither the right moment nor the wrong moment,About the same,Slightly more,Strongly agree,Neither approve nor disapprove,Somewhat disapprove,,,,,Neither approve nor disapprove,A little,Not a lot,Never acceptable,... increased a lot,Very angry,... increased a lot,Very angry,No,Not at all stable,Not very likely,Very positive,,United States,,Russia,Too little,Never,
00bee480-dd23-0135-08c6-0a901406a434,25,city,MX,medium,male,"Yes, as a citizen","Employed, working 30 or more hours per week",400 - 500,All of it,Somewhat secure,... a little better,... get a little better,Neither well nor poorly,... stayed the same,... get a little better,... increased moderately,... increase a little,Somewhat secure,... stay the same,The right moment,More purchases,Slightly more,Somewhat agree,Strongly approve,Somewhat approve,,Somewhat approve,,,,A little,A little,Sometimes acceptable,... stayed the same,A little angry,... stayed the same,Not very angry,Yes,Not very stable,Very likely,Somewhat positive,United States,,United Kingdom,,The right amount,Within the next year,Job / career opportunities | Cost of living | Educational opportunities | Civic freedoms
00cd7cb0-dc21-0135-e2e6-0a62aae02c3c,22,city,BR,medium,male,"Yes, as a citizen","Employed, working 30 or more hours per week",More than 3000,Most of it,Very secure,... a little better,... get a lot better,Fairly well,... got a little better,... get a little better,... increased moderately,... increase moderately,Very secure,... decrease a little,The right moment,More purchases,Slightly more,Strongly disagree,Neither approve nor disapprove,Neither approve nor disapprove,,,Strongly disapprove,,,A lot,A little,Never acceptable,... increased a lot,Very angry,... increased a lot,Very angry,Yes,Not at all stable,Somewhat likely,Somewhat positive,United States | Germany,,China,,Too little,Within the next 3 years,Educational opportunities | Job / career opportunities | Weather / climate | Desire to travel / see the world
00cdbb60-dd1d-0135-01a1-0a901406a434,29,city,TR,medium,male,"Yes, as a citizen","Employed, working 30 or more hours per week",1500 - 2000,Less than half,Somewhat secure,... a little better,... get a little better,Neither well nor poorly,... got a little better,... get a little better,... increased moderately,... increase moderately,Very secure,... stay the same,Neither the right moment nor the wrong moment,About the same,Slightly more,Strongly agree,Strongly approve,Strongly approve,,,,Strongly approve,,A little,A little,Never acceptable,... decreased a lot,A little angry,... decreased a lot,Not very angry,No,Very stable,Not at all likely,Neither positive nor negative,,Russia | China,,United States,Too much,Never,
